mapping,ontology,template
http://mappings.dbpedia.org/server/mappings/en/Wisconsin-politician-stub,http://dbpedia.org/ontology/Politician,wisconsin politician stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_place_Ireland,http://dbpedia.org/ontology/Settlement,infobox place ireland
http://mappings.dbpedia.org/server/mappings/en/Infobox_embryology,http://dbpedia.org/ontology/Embryology,infobox embryology
http://mappings.dbpedia.org/server/mappings/en/NorthCarolina-politician-stub,http://dbpedia.org/ontology/Politician,northcarolina politician stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_speedway_rider,http://dbpedia.org/ontology/SpeedwayRider,infobox speedway rider
http://mappings.dbpedia.org/server/mappings/en/Infobox_launch_pad,http://dbpedia.org/ontology/LaunchPad,infobox launch pad
http://mappings.dbpedia.org/server/mappings/en/US-record-label-stub,http://dbpedia.org/ontology/RecordLabel,us record label stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_horseraces,http://dbpedia.org/ontology/HorseRace,infobox horseraces
http://mappings.dbpedia.org/server/mappings/en/Infobox_artist_discography,http://dbpedia.org/ontology/ArtistDiscography,infobox artist discography
http://mappings.dbpedia.org/server/mappings/en/France-artist-stub,http://dbpedia.org/ontology/Artist,france artist stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_NS-station,http://dbpedia.org/ontology/Station,infobox ns station
http://mappings.dbpedia.org/server/mappings/en/Infobox_president,http://dbpedia.org/ontology/President,infobox president
http://mappings.dbpedia.org/server/mappings/en/Infobox_rugby_league_football_competition,http://dbpedia.org/ontology/RugbyLeague,infobox rugby league football competition
http://mappings.dbpedia.org/server/mappings/en/Newfoundland-geo-stub,http://dbpedia.org/ontology/Place,newfoundland geo stub
http://mappings.dbpedia.org/server/mappings/en/Drugbox,http://dbpedia.org/ontology/Drug,drugbox
http://mappings.dbpedia.org/server/mappings/en/Infobox_table_tennis_player,http://dbpedia.org/ontology/TableTennisPlayer,infobox table tennis player
http://mappings.dbpedia.org/server/mappings/en/Infobox_food,http://dbpedia.org/ontology/Food,infobox food
http://mappings.dbpedia.org/server/mappings/en/Motorsport_season,http://dbpedia.org/ontology/MotorsportSeason,motorsport season
http://mappings.dbpedia.org/server/mappings/en/Infobox_enzyme,http://dbpedia.org/ontology/Enzyme,infobox enzyme
http://mappings.dbpedia.org/server/mappings/en/UK-tv-actor-stub,http://dbpedia.org/ontology/Actor,uk tv actor stub
http://mappings.dbpedia.org/server/mappings/en/Canada-journalist-stub,http://dbpedia.org/ontology/Journalist,canada journalist stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_fashion_designer,http://dbpedia.org/ontology/FashionDesigner,infobox fashion designer
http://mappings.dbpedia.org/server/mappings/en/Infobox_Italian_comune,http://dbpedia.org/ontology/Settlement,infobox italian comune
http://mappings.dbpedia.org/server/mappings/en/Infobox_Korean_settlement,http://dbpedia.org/ontology/AdministrativeRegion,infobox korean settlement
http://mappings.dbpedia.org/server/mappings/en/Infobox_lighthouse,http://dbpedia.org/ontology/Lighthouse,infobox lighthouse
http://mappings.dbpedia.org/server/mappings/en/Beltasteroid-stub,http://dbpedia.org/ontology/Asteroid,beltasteroid stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_speed_skater,http://dbpedia.org/ontology/Skater,infobox speed skater
http://mappings.dbpedia.org/server/mappings/en/Christian-clergy-stub,http://dbpedia.org/ontology/Cleric,christian clergy stub
http://mappings.dbpedia.org/server/mappings/en/UK-SSSI-stub,http://dbpedia.org/ontology/SiteOfSpecialScientificInterest,uk sssi stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_handball_biography,http://dbpedia.org/ontology/HandballPlayer,infobox handball biography
http://mappings.dbpedia.org/server/mappings/en/Novel-char-stub,http://dbpedia.org/ontology/FictionalCharacter,novel char stub
http://mappings.dbpedia.org/server/mappings/en/US-org-stub,http://dbpedia.org/ontology/Organisation,us org stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_musical,http://dbpedia.org/ontology/Musical,infobox musical
http://mappings.dbpedia.org/server/mappings/en/US-music-bio-stub,http://dbpedia.org/ontology/MusicalArtist,us music bio stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_magazine,http://dbpedia.org/ontology/Magazine,infobox magazine
http://mappings.dbpedia.org/server/mappings/en/Infobox_animanga/Video,http://dbpedia.org/ontology/Anime,infobox animanga/video
http://mappings.dbpedia.org/server/mappings/en/Netherlands-Olympic-medalist-stub,http://dbpedia.org/ontology/Athlete,netherlands olympic medalist stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_television_soap_opera,http://dbpedia.org/ontology/TelevisionShow,infobox television soap opera
http://mappings.dbpedia.org/server/mappings/en/Infobox_China_station,http://dbpedia.org/ontology/Station,infobox china station
http://mappings.dbpedia.org/server/mappings/en/Japan-company-stub,http://dbpedia.org/ontology/Company,japan company stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_roller_coaster,http://dbpedia.org/ontology/RollerCoaster,infobox roller coaster
http://mappings.dbpedia.org/server/mappings/en/Larentiinae-stub,http://dbpedia.org/ontology/Insect,larentiinae stub
http://mappings.dbpedia.org/server/mappings/en/Australia-rugbyleague-bio-stub,http://dbpedia.org/ontology/RugbyPlayer,australia rugbyleague bio stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_darts_player,http://dbpedia.org/ontology/DartsPlayer,infobox darts player
http://mappings.dbpedia.org/server/mappings/en/Infobox_UK_postcode_area,http://dbpedia.org/ontology/AdministrativeRegion,infobox uk postcode area
http://mappings.dbpedia.org/server/mappings/en/Infobox_Pittsburgh_neighborhood,http://dbpedia.org/ontology/Settlement,infobox pittsburgh neighborhood
http://mappings.dbpedia.org/server/mappings/en/Japanese-voice-actor-stub,http://dbpedia.org/ontology/VoiceActor,japanese voice actor stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_national_military,http://dbpedia.org/ontology/MilitaryUnit,infobox national military
http://mappings.dbpedia.org/server/mappings/en/Infobox_monument,http://dbpedia.org/ontology/Monument,infobox monument
